1 = 323
1 = frerf
1 = Алла Бабак
2 = Пилип Ірванець
3 = Одарка Яремків
4 = Ігнат Чаленко
5 = Амалія Орлик
6 = Максим Мірошниченко
7 = Лесь Фесенко
8 = Ігор Затовканюк
9 = Микита Тригуб
10 = Захар Голобородько
11 = Оксана Цісик
12 = Клавдія Артюх
13 = Соломон Носаченко
14 = Данна Мамчур
15 = Богданна Гречко
16 = Ілля Дерегус
17 = Златослава Пушкар
18 = Михайлина Рябошапка
19 = Омелян Яремчук
20 = Любов Кармалюк
1 = Дмитро Журба
2 = Ярослава Давимука
3 = Камілла Гаєвський
4 = Юстим Перебийніс
5 = Омелян Охріменко
6 = пані Златослава Єрошенко
7 = Антон Скорик
8 = Аніта Рева
9 = Амвросій Шаблій
10 = Надія Худобʼяк
11 = Мілена Шамрай
12 = Аркадій Євтушок
13 = Ольга Супруненко
14 = Степан Ємець
15 = Аврелій Рябовіл
16 = Зиновій Хоменко
17 = Адам Ващук
18 = Прохір Вакуленко
19 = Ярина Дашкевич
20 = Мирон Безбородько
21 = пан Болеслав Михалюк
22 = Роман Шутько
23 = пан Ігор Баранець
24 = Анастасія Жученко
25 = Мирослав Міщенко
1 = Опанас Ткач
2 = Данило Зайченко
3 = Ганна Гаврилець
4 = Амалія Олійник
5 = Герман  Аверченко
6 = Ярослава Адаменко
7 = пані Орина Балабан
8 = Данило Терещук
9 = Михайлина Баштан
10 = Соломія Стельмах
11 = пані Марія Червоненко
12 = Соломон Смик
13 = Володимира Сірко
14 = Гліб Журба
15 = Лариса Чабан
16 = Августин Павличенко
17 = Вікторія Зінченко
18 = Альбіна Артюшенко
19 = Григорій Піддубний
20 = Марко Атаманчук
21 = Вадим Ґалаґан
22 = Болеслав Удовиченко
23 = Мілена Журавель
24 = Спас Червоненко
25 = Юстим Бабариченко
1 = Макар Тригуб
2 = Христина Гаврилів
3 = Марта Давиденко
4 = Венедикт Гоголь-Яновський
5 = Веніямин Дубина
6 = пані Данна Перебийніс
7 = Нестор Канівець
8 = Ада Карпенко
9 = Аніта Парасюк
10 = пан Ярослав Скирда
11 = Тетяна Бгиденко
12 = Марія Височан
13 = Лариса Худобʼяк
14 = Венедикт Лаба
15 = Марта Іваненко
16 = Олесь Голик
17 = Людмила Проценко
18 = Ілля Бабʼюк
19 = Артем Рубан
20 = Прохір Авдєєнко
21 = пан Зорян Джунь
22 = Азар Адаменко
23 = пані Соломія Сагаль
24 = пані Еріка Гук
25 = Юстина Рябченко
1 = пані Ірена Пелех
2 = Галина Іванченко
3 = Омелян Рябченко
4 = Андрій Харченко
5 = Амвросій Вертипорох
6 = Дарина Акуленко
7 = Пармен Гайдай
8 = Еріка Голик
9 = Давид Саченко
10 = Азар Бабенко
11 = Оксана Корпанюк
12 = Соломія Андрейко
13 = Павло Скирда
14 = Орхип Ковалюк
15 = Федір Чумак
16 = Тереза Рубан
17 = Йосип Сімашкевич
18 = Богданна Єфименко
19 = Орися Деркач
20 = Миколай Усик
21 = Вікторія Василечко
22 = Златослава Бабʼяк
23 = Пріска Яковенко
24 = Зиновій Жученко
25 = Веніямин Фесенко
1 = Лариса Опанасенко
2 = Аніта Вітер
3 = Ірена Гузій
4 = Мирон Удовенко
5 = Мирон Даньків
6 = Ігор Їжакевич
7 = Наталія Гриценко
8 = Ярослава Килимник
9 = Павло Данильчук
10 = пан Руслан Малик
11 = Лукʼян Швайка
12 = Петро Колесниченко
13 = Камілла Ящук
14 = Ольга Карась
15 = Емілія Овсієнко
16 = пані Марта Шелест
17 = Федір Гаврилів
18 = Макар Оробець
19 = Віолетта Тимченко
20 = Варвара Шиян
21 = Віра Малишко
22 = Пантелеймон Ґалаґан
23 = Борис Шелест
24 = Святослав Алексюк
25 = Наталія Шухевич
1 = Валерій Ґерус
2 = Ігнат Теліженко
3 = Ліза Бандурка
4 = пан Віталій Жученко
5 = Петро Мамчур
6 = Марко Конопля
7 = Єлисей Пелех
8 = Богданна Деряжний
9 = Амалія Бабʼюк
10 = Камілла Рябовіл
11 = Микита Цюцюра
12 = Вʼячеслав Чекалюк
13 = Дан Єсипенко
14 = пані Лариса Худяк
15 = Варвара Жайворон
16 = Христина Швачка
17 = Стефан Сімашкевич
18 = Ганна Аронець
19 = пані Марина Бандера
20 = Сніжана Євдокименко
21 = Тереза Затовканюк
22 = пан Борис Хмара
23 = Алла Орлик
24 = Еріка Затула
25 = Галина Носенко
1 = Володимир Базилевський
2 = Мартин Демʼянюк
3 = Амвросій Шутько
4 = Роман Устенко
5 = Віталій Закусило
6 = Еріка Гайдамака
